ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.84,40.3,-0.057,-0.033,22.046999999999997,-139.1,151.09,-1079.63,-53.48,-0.99,22.08,82.78,476.26,22.448,26.83,26.47,23.7
0.85,40.29,-0.057,-0.03,22.061,-147.65,148.09,-1052.4,-68.94,-5.82,11.5,82.73,475.99,22.458000000000002,26.83,26.45,23.66
0.86,40.29,-0.057999999999999996,-0.024,22.055,-176.88,143.2,-1020.28,-78.15,-7.21,-4.63,82.73,475.92,22.461,26.75,26.41,23.63
0.87,40.28,-0.053,-0.039,22.061,-214.92,137.42,-992.23,-76.97,-3.46,-21.68,82.78,475.78,22.462,26.68,26.48,23.63
0.88,40.28,-0.064,-0.044000000000000004,22.058000000000003,-256.74,135.22,-978.73,-64.64,6.23,-37.52,82.68,475.71,22.465999999999998,26.7,26.42,23.6
0.89,40.27,-0.064,-0.037000000000000005,22.057,-278.57,132.88,-977.87,-48.04,16.72,-46.17,82.93,475.92,22.451,26.89,26.44,23.67
0.9,40.26,-0.061,-0.043,22.053,-277.29,136.17,-999.98,-26.59,23.91,-46.57,83.03,476.12,22.436,26.8,26.42,23.7
0.91,40.27,-0.066,-0.03,22.05,-249.95,139.72,-1033.55,-9.41,26.55,-37.96,83.18,476.26,22.432,26.84,26.47,23.73
0.92,40.27,-0.064,-0.022000000000000002,22.05,-208.55,145.91,-1075.79,3.27,22.87,-23.7,83.08,476.26,22.435,27.02,26.41,23.92
0.93,40.26,-0.06,-0.024,22.051,-163.93,151.22,-1105.77,4.11,12.17,-5.86,82.98,476.12,22.433000000000003,27.02,26.48,23.76
0.94,40.28,-0.064,-0.036000000000000004,22.054000000000002,-134.04,152.98,-1120.16,-4.93,1.85,10.2,83.08,475.85,22.456999999999997,26.99,26.27,23.67
0.95,40.28,-0.051,-0.036000000000000004,22.052,-122.18,153.15,-1118.35,-21.7,-7.34,21.52,83.59,475.78,22.462,26.83,26.53,23.67
0.96,40.31,-0.057,-0.034,22.053,-133.5,153.36,-1102.61,-41.19,-11.9,23.88,84.19,475.65,22.485,26.89,26.42,23.6
0.97,40.32,-0.061,-0.036000000000000004,22.054000000000002,-161.57,150.98,-1075.14,-59.73,-16.88,18.21,84.5,475.65,22.491999999999997,26.84,26.36,23.75
