ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
439.12,25.06,415.54,-9.185,-0.037000000000000005,9.742,10.006,12.05,15.5,559.15,-238.4,-54.57,27.05,-0.07,-2.35,92.88,102.55,143.23,145.96,81.57,-0.026000000000000002
439.13,25.05,415.2,-9.228,-0.039,9.744,10.01,12.09,9.55,557.84,-241.23,-44.27,19.32,-0.04,-2.31,93.01,102.66,143.34,145.88,81.57,-0.027000000000000003
439.14,25.05,415.13,-9.271,-0.047,9.743,10.009,12.13,5.02,553.9,-246.03,-30.62,14.76,-0.02,-2.25,92.87,102.86,143.51,145.99,81.61,-0.027000000000000003
439.15,25.05,414.92,-9.316,-0.034,9.742,10.012,12.13,2.93,548.5,-249.79,-17.59,14.25,-0.01,-2.2,92.89,102.32,143.34,146.32,81.58,-0.027000000000000003
439.16,25.04,414.99,-9.353,-0.046,9.744,10.007,12.11,4.46,542.99,-253.56,-5.93,18.26,-0.02,-2.14,92.94,102.81,143.51,146.59,81.57,-0.026000000000000002
439.17,25.04,415.06,-9.404,-0.039,9.743,10.003,12.09,9.07,538.8,-255.43,0.35,25.98,-0.04,-2.11,92.92,102.49,143.76,146.54,81.59,-0.026000000000000002
439.18,25.04,415.06,-9.437000000000001,-0.034,9.743,10.0,12.05,15.26,537.54,-256.38,1.64,35.94,-0.06,-2.1,92.91,102.66,144.21,146.37,81.6,-0.026000000000000002
439.19,25.03,414.99,-9.482999999999999,-0.03,9.741,9.999,12.08,21.89,538.56,-255.18,-3.89,46.69,-0.09,-2.11,92.91,102.61,143.84,146.59,81.57,-0.026000000000000002
439.2,25.03,414.99,-9.527999999999999,-0.04,9.743,9.998,12.12,28.49,541.46,-252.18,-14.49,56.76,-0.11,-2.15,92.93,102.81,144.34,146.86,81.57,-0.025
439.21,25.03,415.06,-9.568999999999999,-0.046,9.745,9.995,12.16,34.0,544.8,-248.34,-27.89,64.22,-0.14,-2.19,92.86,102.66,144.51,146.56,81.6,-0.025
439.22,25.04,414.92,-9.613999999999999,-0.039,9.744,9.999,12.09,35.83,547.8,-243.35,-41.97,66.72,-0.15,-2.25,92.92,102.75,144.51,147.05,81.59,-0.026000000000000002
439.23,25.05,414.65,-9.645,-0.034,9.743,10.009,12.09,33.19,550.37,-238.86,-54.09,64.14,-0.14,-2.3,92.89,102.75,144.71,147.3,81.57,-0.027000000000000003
439.24,25.06,414.44,-9.696,-0.033,9.745,10.015,12.05,26.29,552.98,-235.95,-61.16,56.39,-0.11,-2.34,92.92,102.75,144.82,147.38,81.6,-0.027000000000000003
439.25,25.07,414.51,-9.736,-0.03,9.742,10.017000000000001,11.97,19.77,555.31,-235.19,-63.18,47.33,-0.08,-2.36,92.89,102.72,144.98,147.74,81.62,-0.027999999999999997
439.26,25.07,414.44,-9.765,-0.03,9.743,10.019,12.01,15.57,556.6,-237.1,-58.23,38.16,-0.07,-2.35,92.91,102.69,144.87,147.68,81.59,-0.027999999999999997
439.27,25.07,414.79,-9.809,-0.039,9.745,10.01,11.99,14.72,556.7,-240.03,-48.83,30.72,-0.06,-2.32,92.92,102.78,145.21,147.96,81.58,-0.026000000000000002
439.28,25.07,415.2,-9.853,-0.036000000000000004,9.742,9.998,11.97,13.58,555.23,-243.78,-36.43,23.41,-0.06,-2.28,92.92,102.75,145.32,148.01,81.61,-0.026000000000000002
439.29,25.07,415.33,-9.895,-0.04,9.745,9.993,11.98,11.77,551.45,-247.89,-22.16,17.99,-0.05,-2.22,92.92,102.86,145.37,148.15,81.62,-0.025
439.3,25.07,415.26,-9.932,-0.037000000000000005,9.746,9.993,11.98,10.25,546.23,-250.81,-10.57,16.36,-0.04,-2.18,92.97,102.84,145.32,148.45,81.58,-0.025
439.31,25.05,415.26,-9.977,-0.037000000000000005,9.744,9.986,11.98,8.8,541.45,-254.17,-0.88,19.13,-0.03,-2.13,92.91,102.95,145.32,148.28,81.61,-0.024
